,Year,Player,Team,Suspension
0,2012,Bartolo Colon,Athletics,50 games
1,2012,Melky Cabrera,Giants,50 games
2,2012,Freddy Galvis,Phillies,50 games
3,2012,Guillermo Mota,Giants,100 games
4,2011,Manny Ramirez,Rays,100 games*
5,2010,Ronny Paulino,Marlins,50 games
6,2010,Edinson Volquez,Reds,50 games
7,2009,Manny Ramirez,Dodgers,50 games
8,2009,Kelvin Pichardo,Giants,50 games
9,2009,Sergio Mitre,Yankees,50 games
10,2009,J.C. Romero,Phillies,50 games
11,2008,Henry Owens,Marlins,50 games
12,2007,Dan Serafini,Rockies,50 games
13,2007,Mike Cameron,Padres,25 games
14,2007,Neifi Perez,Tigers,80 games
15,2007,Neifi Perez,Tigers,25 games
16,2007,Juan Salas,Devil Rays,50 games
17,2006,Guillermo Mota,Mets,50 games
18,2006,Jason Grimsley,Diamondbacks,50 games
19,2006,Yusaku Iriki,Mets,50 games
20,2005,Matt Lawton,Yankees,10 days
21,2005,Felix Heredia,Mets,10 days
22,2005,Carlos Almanzar,Rangers,10 days
23,2005,Mike Morse,Mariners,10 days
24,2005,Ryan Franklin,Mariners,10 days
25,2005,Rafael Palmeiro,Orioles,10 days
26,2005,Rafael Betancourt,Indians,10 days
27,2005,Jamal Strong,Mariners,10 days
28,2005,Agustin Montero,Rangers,10 days
29,2005,Jorge Piedra,Rockies,10 days
30,2005,Alex Sanchez,Devil Rays,10 days
